Error_Tag,Count
"agrgender,miss",1
"agrnum,constr",1
"ortho,misspell,infl",1
"constr,infl,ortho",1
"gender,infl,ortho",1
"miss,ortho,infl",1
"ortho,infl,miss",1
"constr,miss,subst",1
"infl,subst,ortho",1
"hyphen,gov,miss",1
"gov,hyphen",1
"gov,extra,transfer",1
"constr,gender,punct,transfer",1
"asp,lex,transfer",1
"gov,miss,prep,transfer",1
"agrgender,lex,transfer",1
"ortho,miss,aux,tense",1
"gov,agrnum,punct",1
"miss,ref,punct,transfer",1
"lex,conj,constr",1
"ortho,miss,lex,constr,not-clear,transfer",1
"miss,constr,transfer",1
"tense,lex,ref,extra",1
"punct,agrcase",1
"punct,gov",1
"constr,prep,gov",1
"com,constr",1
"translit,ortho,gov",1
"punct,syntax",1
"miss,syntax,punct",1
"wo,miss,syntax",1
"wo,extra,transfer",1
"punct,lex,transfer",1
"miss,lex,not-clear",1
"constr,miss,space",1
"extra,ortho,not-clear",1
"miss,altern",1
"miss,agrcase,punct",1
"extra,punct,agrpers,tense",1
"asp,deriv",1
"miss,infl,agrnum",1
"punct,asp",1
"constr,punct,gov",1
"tense,agrpers,refl",1
"agrpers,lex",1
"conj,mode",1
"deriv,syntax",1
"punct,miss,lex",1
"wo,miss,ref",1
"ortho,misspell,punct",1
"ortho,gov,transfer",1
"ortho,gov,punct",1
"miss,com",1
"punct,gov,ortho",1
"passive,agrgender,agrnum,constr",1
"ref,refl",1
"tense,neg",1
"lex,agrstr,constr",1
"ortho,not-clear,space,miss",1
"prep,conj,miss",1
"lex,idiom,not-clear",1
"ortho,miss,hyphen",1
"lex,syntax,wo,constr,agrstr",1
"not-clear,agrpers",1
"gender,tense",1
"extra,prep,ref",1
"graph,cs",1
"prep,misspell",1
"wo,brev,agrnum",1
"ref,miss,not-clear",1
"space,extra,infl",1
"ortho,space,extra,prep",1
"conj,extra,constr",1
"agrgender,idiom",1
"ortho,space,miss,neg",1
"neg,space,miss,ortho",1
"miss,constr,asp",1
"miss,prep,hyphen",1
"ortho,subst,miss",1
"transfer,ref",1
"constr,conj,agrcase,prep,miss",1
"lex,agrstr,constr,prep,miss",1
"ref,gov,lex",1
"agrstr,agrgender",1
"agrpers,agrstr",1
"agrstr,agrcase,ref,agrgender",1
"num,ortho,gov",1
"agrgender,refl,ortho",1
"prep,space,extra",1
"gov,lex,ortho",1
"agrnum,ref",1
"agrstr,agrpers,tense",1
"agrcase,agrstr,agrnum",1
"constr,lex,agrstr,agrpers,miss",1
"mode,miss",1
"gov,lex,prep",1
"lex,ortho,prep,miss",1
"ref,lex,extra",1
"miss,agrstr,constr",1
"tense,lex,gov",1
"disc,lex,wo,constr",1
"lex,miss,agrcase",1
"lex,idiom,agrcase",1
"agrstr,lex,constr",1
"wo,idiom",1
"agrpers,tense,constr",1
"syntax,subst,conj",1
"constr,agrcase,lex",1
"wo,lex,subst,deriv,constr",1
"ortho,num,punct",1
"transfer,refl",1
"miss,prep,lex",1
"morph,subst",1
"misspell,punct",1
"constr,prep,ref,miss",1
"agrcase,miss,prep",1
"lex,agrnum,subst",1
"agrnum,agrgender,agrcase",1
"ortho,miss,agrnum,agrgender,agrcase",1
"tense,agrnum,agrpers",1
"tense,ortho,agrnum",1
"constr,gov,transp",1
"gov,num,ref,miss",1
"prep,ortho,space,extra",1
"syntax,aux,infl,deriv,asp,transp",1
"deriv,punct,miss",1
"ortho,punct,miss",1
"ortho,lex,brev",1
"conj,miss,agrstr,constr",1
"ortho,gov,deriv",1
"lex,prep,extra",1
"infl,agrpers",1
"agrpers,ortho",1
"lex,aux,ortho",1
"miss,translit",1
"miss,subst",1
"infl,num,transfer",1
"morph,gov,transfer",1
"infl,misspell,punct,ortho,transfer",1
"extra,punct",1
"constr,transfer,impers",1
"impers,agrgender",1
"miss,syntax,prep",1
"ortho,space,extra,neg",1
"punct,conj,miss",1
"conj,agrstr",1
"ortho,agrcase,infl",1
"constr,neg,agrpers,tense",1
"constr,extra,lex",1
"aux,punct",1
"asp,agrpers,ortho",1
"num,agrnum,par",1
"ref,agrpers",1
"impers,ref,conj,miss",1
"conj,ortho,space,extra",1
"conj,space,extra,ortho",1
"conj,extra,space,ortho",1
"ortho,space,extra,ref,lex",1
"transfer,lex,not-clear",1
"tense,constr,mode",1
"miss,mode",1
"infl,asp",1
"transfer,prep,constr,syntax",1
"constr,asp,gov",1
"syntax,mode,constr,wo",1
"mode,syntax",1
"gender,gov",1
"wo,lex,syntax",1
"gender,infl",1
"miss,ref,wo",1
"wo,syntax,tense",1
"brev,syntax,gov",1
"gender,agrnum",1
"wo,ortho,ref",1
"ref,agrcase,miss",1
"ortho,tense,ref",1
"miss,punct",1
"hyphen,ortho,agrcase",1
"ortho,not-clear,agrcase",1
"asp,miss",1
"infl,agrcase",1
"transfer,lex,asp",1
"agrpers,mode",1
"asp,agrstr,agrpers",1
"agrpers,agrnum,agrstr",1
"brev,agrgender,ortho,neg",1
"tense,ortho,agrpers,agrstr",1
"lex,constr,agrstr,conj",1
"constr,not-clear,agrstr,agrgender",1
"not-clear,lex,ortho",1
"ortho,lex,asp",1
"agrpers,asp",1
"agrgender,mode",1
"syntax,miss,punct",1
"ortho,lex,ref",1
"neg,tense",1
"brev,lex,agrpers",1
"lex,agrstr,miss,aux",1
"agrcase,lex,miss",1
"lex,ortho,par",1
"impers,lex",1
"prep,gov,miss",1
"wo,syntax,miss,punct",1
"not-clear,ortho,tense,mode",1
"wo,hyphen,miss",1
"space,lex,ortho,miss",1
"agrnum,agrstr,lex,miss",1
"conj,constr,not-clear",1
"agrcase,conj",1
"extra,translit",1
"morph,agrgender",1
"idiom,gov",1
"lex,miss,extra",1
"lex,miss,transp",1
"ortho,lex,not-clear",1
"lex,not-clear,extra",1
"agrnum,agrstr",1
"idiom,lex,not-clear",1
"refl,miss,lex",1
"transfer,translit,lex",1
"lex,agrcase,agrpers,agrstr,constr",1
"wo,lex,constr",1
"gender,agrstr",1
"gov,agrcase,syntax",1
"lex,gender,ref",1
"lex,par,not-clear",1
"idiom,transfer,lex",1
"not-clear,subst,lex",1
"agrgender,par",1
"aux,mode,brev",1
"gov,prep,not-clear",1
"wo,constr,gov,lex",1
"ortho,deriv,agrpers",1
"lex,gov,ref",1
"conj,syntax,wo",1
"cs,not-clear",1
"wo,transp,lex,agrnum",1
"deriv,agrgender,constr",1
"idiom,not-clear,transfer",1
"passive,impers",1
"lex,constr,morph",1
"conj,subst,neg",1
"agrnum,lex,constr",1
"disc,lex,disc",1
"impers,lex,par",1
"idiom,prep",1
"constr,lex,miss,agrcase",1
"gov,not-clear,not-clear",1
"space,extra,brev",1
"constr,lex,conj",1
"constr,agrstr,agrpers",1
"tense,agrgender,agrpers",1
"miss,ref,constr,idiom",1
"refl,ortho",1
"syntax,gov,wo,par",1
"constr,lex,subst",1
"graph,ortho",1
"aux,constr,subst,lex",1
"ref,num,par",1
"ref,constr,subst",1
"not-clear,lex,ref,constr,subst",1
"conj,constr,lex,subst",1
"conj,syntax,ref,lex",1
"constr,subst,syntax,ref,transfer",1
"not-clear,lex,agrnum",1
"ref,num,lex",1
"lex,extra,disc",1
"agrstr,transfer",1
"ref,miss,constr,disc",1
"constr,transfer,neg,wo",1
"misspell,altern",1
"asp,lex,transfer,subst",1
"ortho,ref,constr,lex",1
"deriv,infl,subst",1
"lex,subst,prep",1
"constr,prep,gov,agrcase",1
"ortho,subst,agrcase",1
"subst,idiom,not-clear",1
"hyphen,transfer,constr",1
"constr,subst,conj",1
"agrpers,agrnum,syntax",1
"num,subst,ref,transfer",1
"num,genneg,transfer",1
"constr,extra,ref,transfer",1
"subst,lex,constr",1
"asp,infl,miss",1
"brev,conj",1
"agrgender,wo",1
"conj,par",1
"wo,agrnum",1
"wo,agrnum,constr",1
"agrstr,gov",1
"miss,num,gov",1
"transfer,extra,prep,agrstr",1
"miss,neg",1
"constr,gov,extra",1
"constr,not-clear,disc,subst",1
"lex,disc,subst",1
"par,lex,subst",1
"constr,extra,conj",1
"transfer,extra,ref",1
"extra,ref,disc",1
"constr,lex,subst,transfer",1
"wo,constr,ref",1
"extra,conj,constr,transfer",1
"ref,subst,lex",1
"transfer,tense,constr",1
"tense,transfer,constr,lex,subst",1
"transfer,constr,lex",1
"syntax,gender",1
"extra,conj,disc",1
"disc,syntax",1
"constr,syntax,extra",1
"passive,ortho,subst",1
"syntax,num",1
"agrnum,constr,syntax",1
"constr,prep,lex",1
"extra,prep,agrstr",1
"lex,ortho,extra,idiom",1
"brev,miss",1
"aux,impers",1
"gov,refl",1
"lex,extra,gov",1
"translit,agrcase",1
"ortho,miss,infl,miss",1
"lex,not-clear,gov",1
"num,infl,subst",1
"subst,graph",1
"lex,par,subst",1
"space,extra,ortho,subst",1
"constr,transp,disc",1
"miss,prep,agrstr",1
"deriv,morph",1
"miss,ref,gov",1
"constr,disc,miss,agrnum",1
"space,ortho,subst,agrcase",1
"lex,prep,gender",1
"neg,transfer",1
"not-clear,ref,lex",1
"translit,constr",1
"tense,not-clear",1
"ortho,infl,subst",1
"asp,ref",1
"lex,constr,agrgender",1
"lex,not-clear,asp",1
"idiom,asp",1
"lex,infl,subst",1
"ortho,cs",1
"ref,wo,tense",1
"gender,ortho,subst",1
"ref,wo",1
"not-clear,lex,ref",1
"ortho,space,hyphen",1
"ref,tense,constr,ortho",1
"constr,refl,lex",1
"lex,wo,constr,not-clear",1
"num,ref,miss",1
"num,ortho,miss",1
"num,wo",1
"lex,constr,asp",1
"not-clear,gov",1
"translit,cs",1
"lex,constr,ortho",1
"ortho,transp,lex",1
"agrcase,infl,subst",1
"lex,refl,tense",1
"tense,asp,lex",1
"ref,agrcase,agrgender",1
"wo,brev,lex",1
"lex,tense,not-clear,aux",1
"wo,ref,lex,constr",1
"aux,constr,agrpers",1
"lex,constr,agrcase",1
"lex,constr,ref",1
"num,constr,ref",1
"constr,conj,asp",1
"transp,constr,wo",1
"agrcase,translit",1
"syntax,constr,lex",1
"constr,wo,agrcase",1
"ortho,refl,constr,lex",1
"hyphen,space,infl",1
"lex,passive",1
"agrstr,syntax,miss",1
"constr,gov,wo,syntax",1
"gov,miss,syntax",1
"gender,miss",1
"idiom,ortho,gov",1
"lex,extra,transfer",1
"constr,transfer,prep,extra",1
"conj,syntax,transfer",1
"lex,num,transfer",1
"lex,miss,transfer",1
"lex,prep,transfer",1
"miss,tense",1
"space,translit",1
"space,misspell",1
"transfer,subst",1
"impers,idiom",1
"prep,hyphen,altern,infl",1
"lex,par,idiom",1
"lex,gov,constr,cs",1
"ortho,constr,translit,lex",1
"gender,lex,ortho,extra",1
"constr,not-clear,lex",1
"wo,ortho,constr,not-clear",1
"gov,agrnum",1
"constr,num,lex,wo",1
"deriv,gender",1
"ortho,miss,lex,transfer",1
"refl,impers",1
"not-clear,conj",1
"not-clear,asp",1
"hyphen,transp,ortho",1
"num,lex,constr",1
"asp,tense,constr",1
"gov,miss,prep,wo",1
"genneg,gov",1
"constr,not-clear,miss",1
"constr,prep,extra,miss,transfer",1
"agrnum,agrgender,tense",1
"conj,constr,transfer,lex",1
"agrnum,not-clear",1
"not-clear,syntax,constr,lex",1
"brev,gov,not-clear",1
"agrpers,syntax,gov",1
"agrgender,agrpers",1
"par,gov,lex,agrnum",1
"gov,num,constr",1
"syntax,gov,constr,wo",1
"par,lex,deriv",1
"syntax,constr,gov",1
"altern,brev",1
"agrpers,syntax",1
"ortho,syntax",1
"syntax,constr,tense",1
"gov,prep,misspell",1
"tense,ortho,subst",1
"subst,ortho,par",1
"misspell,hyphen",1
"transfer,not-clear",1
"agrcase,constr,gov",1
"gov,constr,agrcase",1
"agrcase,hyphen",1
"hyphen,subst",1
"constr,aux,agrcase,wo,lex,mode",1
"tense,wo",1
"tense,agrcase",1
"conj,transfer,constr,lex",1
"wo,transfer,constr",1
"constr,mode,wo",1
"num,gov,not-clear",1
"constr,conj,ref",1
"lex,not-clear,num",1
"idiom,lex,idiom",1
"conj,lex,not-clear",1
"ortho,gov,lex",1
"space,ortho,subst",1
"ref,insert",1
"constr,wo,lex,transfer",1
"transp,gov,lex",1
"constr,agrcase,gov",1
"constr,prep,extra,transfer",1
"conj,constr,transfer,space",1
"gov,agrcase,ortho",1
"lex,gov,constr,transfer",1
"gov,agrcase,gender",1
"gov,agrcase,constr",1
"gov,constr,lex,syntax",1
"wo,ortho",1
"ref,agrstr",1
"agrstr,gov,lex,syntax",1
delw,1
"agrgender,ortho,miss",1
"tense,punct",1
"ref,subst,transfer",1
"wo,agrnum,lex",1
"ref,deriv",1
"lex,prep,gov,transfer",1
"conj,miss,space,extra",1
"subst,constr",1
рецензией,1
"hyphen,punct",1
"gov,agrcase,lex",1
"mode,transfer",1
"gov,infl,morph",1
"lex,coord",1
"transfer,agrcase",1
"lex,misspell,subst",1
addw,1
"space,extra,ortho,miss,punct",1
"ortho,miss,space,extra",1
"agrnum,lex,miss",1
"constr,transfer,agrstr",1
"gov,graph",1
"gov,constr,constr,subst",1
"graph,transfer",1
"ortho,subst,altern",1
"deriv,asp,refl",1
"ortho,subst,wo",1
"translit,morph",1
"ortho,ortho,morph",1
"misspell,transp",1
"lex,not-clear,transfer",1
"gov,subst",1
"not-clear,lex,subst",1
"ref,conj,subst",1
"lex,subst,prep,constr",1
"impers,constr,lex,disc",1
"altern,infl",1
"constr,miss,prep,disc",1
"constr,subst,prep,extra,transfer",1
"impers,constr,lex",1
"tense,transfer,syntax",1
"prep,subst,ortho,gov",1
"miss,ref,conj,constr",1
"disc,miss,conj,constr,transfer,syntax,lex,subst",1
"not-clear,disc,constr",1
"miss,ref,transfer",1
"subst,conj,constr",1
"extra,conj,constr",1
"agrstr,subst,prep",1
"constr,miss,refl,conj",1
"constr,disc,not-clear",1
"gov,miss,prep",1
"misspell,idiom",1
"gov,subst,ref,conj",1
"prep,extra,transfer,constr,miss",1
"lex,deriv,misspell",1
"not-clear,miss,neg",1
"num,constr,transfer",1
"wo,translit",1
"mode,conj,miss",1
"num,transfer,prep,subst",1
"wo,transp,idiom",1
"wo,transp,disc",1
"transfer,num",1
"miss,disc,ref",1
"transfer,constr,subst,prep,disc",1
"extra,hyphen,subst,miss,space",1
"asp,mode,miss",1
"constr,subst,extra",1
"idiom,subst,lex",1
"constr,ref,subst",1
"transfer,extra,prep",1
"num,constr,miss,ref",1
"constr,miss,ref",1
"idiom,extra,prep",1
"subst,constr,num",1
"miss,conj,transfer",1
"transfer,neg",1
"prep,subst,constr",1
"miss,ref,subst,constr",1
"lex,disc,ref,subst,not-clear",1
"brev,wo,transp,transfer",1
"subst,syntax",1
"transfer,infl",1
"subst,ref,transfer",1
"agrstr,prep,extra,transfer",1
"extra,prep,transfer,agrstr",1
"space,miss,misspell",1
"miss,deriv",1
"refl,constr,prep,extra",1
"lex,tense,constr",1
"misspell,extra",1
"extra,ortho,miss,aux,refl,asp",1
"constr,extra,prep,transfer",1
"agrnum,constr,refl",1
"miss,conj,transfer,lex,subst",1
"num,agrnum,transfer",1
"syntax,disc",1
"gov,prep,constr,not-clear",1
"extra,hyphen,space",1
"gov,brev",1
"constr,tense,mode,ortho",1
"transfer,mode",1
"transfer,constr,disc",1
"asp,aux",1
"subst,conj,not-clear",1
"extra,aux,transfer",1
"par,ortho,miss",1
"extra,prep,constr",1
"passive,asp",1
"deriv,tense,refl",1
"mode,asp,aux",1
"not-clear,cs",1
"lex,ref,not-clear",1
"space,not-clear",1
"par,punct",1
"idiom,punct",1
"not-clear,constr,ortho",1
"ortho,aux",1
"transp,aux",1
"refl,agrcase,conj",1
"conj,agrcase",1
"conj,ref",1
"asp,agrcase",1
"ref,refl,agrcase",1
add,1
"num,prep,miss",1
"gender,agrcase",1
"constr,extra,transfer",1
"constr,mode",1
"constr,morph,agrgender",1
"asp,transp",1
"asp,constr,miss",1
"punct,altern",1
"syntax,constr,prep,extra",1
"constr,miss,not-clear",1
"syntax,constr,ref,miss",1
"disc,lex,subst,transfer",1
"syntax,constr,miss,transfer",1
"constr,extra,miss,prep",1
"asp,constr,aux",1
"aux,subst,asp",1
"morph,deriv,extra",1
"ortho,miss,translit",1
"syntax,constr,prep,subst,transfer",1
"syntax,mode,passive",1
"syntax,gov,prep,extra,transfer",1
"space,agrnum,agrcase",1
"wo,miss,prep,disc",1
"agrcase,constr,extra",1
"transfer,lex,conj",1
"transfer,lex,agrstr",1
"agrnum,agrpers,asp",1
"constr,wo,extra",1
"constr,idiom,miss",1
"ortho,subst,constr,miss",1
"not-clear,ref",1
"lex,idiom,prep",1
"lex,disc,transfer",1
"lex,deriv,transfer",1
"ref,extra,constr",1
"prep,num",1
"miss,agrstr,lex,not-clear",1
"lex,miss,ref",1
"agrstr,constr,disc",1
"lex,constr,transfer,idiom,prep",1
"conj,lex,transfer",1
"agrstr,prep,disc",1
"gov,agrcase,infl",1
"not-clear,wo",1
"num,subst",1
"transp,constr",1
"subst,conj",1
"subst,lex,transfer",1
"subst,infl",1
"deriv,infl,num",1
"lex,num,miss",1
"neg,space",1
"mode,asp",1
"constr,prep,agrnum",1
"extra,lex,constr",1
"transfer,constr,gov",1
"gov,coord",1
"infl,translit",1
"ref,conj,syntax",1
"lex,constr,wo",1
"deriv,constr",1
"deriv,lex,not-clear",1
"num,extra,lex",1
"altern,deriv,transp",1
"extra,ref,constr",1
"syntax,constr,miss,not-clear",1
"lex,not-clear,disc",1
"agrstr,miss,not-clear",1
"refl,passive",1
"impers,lex,miss",1
"disc,constr,num",1
"disc,constr,conj,miss",1
nom,1
"hyphen,lex",1
"agrgender,gov",1
"space,neg,lex",1
"prep,infl,constr",1
"ref,prep,miss",1
"gender,constr,disc",1
"gov,prep,transfer",1
"miss,num",1
"asp,ortho,extra",1
"asp,disc,constr",1
"prep,gender,constr",1
"lex,constr,prep",1
"miss,constr,com",1
"lex,gov,prep",1
"deriv,par",1
"extra,neg",1
"miss,morph",1
"asp,ortho,miss",1
"morph,agrnum",1
"par,agrgender",1
"wo,transp,extra,transfer",1
"par,constr",1
"tense,agrpers,agrgender",1
"miss,constr,agrstr",1
"miss,tense,constr,agrstr",1
"gov,agrcase,prep",1
"refl,lex,asp",1
"refl,deriv,morph,tense",1
"ortho,morph,refl",1
"extra,agrstr,constr",1
"deriv,asp",1
"ortho,asp,lex",1
"tense,agrcase,asp",1
"not-clear,gov,lex",1
"ref,disc",1
"prep,idiom,transfer",1
"constr,gov,prep,transfer",1
"gov,ref,prep",1
"syntax,ref",1
"gov,prep,miss,transfer",1
"ortho,miss,par",1
"lex,par,transfer",1
"syntax,agrstr",1
"miss,lex,transfer",1
"brev,space,extra",1
"constr,transfer,conj,punct",1
"constr,transfer,punct",1
"prep,gov,agrnum",1
"agrgender,morph",1
"lex,disc,impers,wo",1
"par,transfer",1
"miss,lex,gov",1
"prep,miss,transfer",1
"lex,par,constr",1
"agrcase,agrgender,ortho",1
"ortho,agrcase,agrnum",1
"constr,passive",1
"miss,constr,wo",1
"transfer,gov,miss",1
"extra,constr,agrcase",1
"agrgender,gov,ref,syntax,prep",1
"gov,prep,ref,syntax",1
"ref,extra,prep,extra",1
"constr,constr",1
"com,miss",1
"hyphen,lex,transfer",1
"agrgender,transfer",1
"agrcase,transfer",1
"ortho,miss,subst",1
"aux,extra,transfer",1
"refl,asp,transfer",1
"agrgender,deriv",1
"deriv,ortho,lex",1
"aux,ref,prep,miss,transfer",1
"prep,transfer,extra",1
"refl,altern",1
"conj,extra,prep",1
"impers,transfer",1
"conj,miss,lex",1
"num,miss",1
"space,ortho,infl",1
"refl,transfer",1
"infl,space,ortho",1
"lex,impers,transfer",1
"hyphen,wo",1
"ortho,subst,syntax",1
"syntax,ortho,miss",1
"prep,ortho,miss",1
"graph,ortho,subst",1
"ortho,syntax,syntax",1
"lex,hyphen",1
"gov,ortho,miss",1
"ortho,subst,graph",1
"space,transfer",1
"extra,agrnum",1
"constr,lex,idiom",1
"constr,hyphen,transfer,lex",1
"lex,constr,conj",1
"impers,neg,syntax",1
"constr,miss,conj",1
"lex,par,tense",1
"lex,prep,extra,agrstr,constr",1
"refl,prep,miss",1
"extra,ortho,par",1
"ref,miss,syntax",1
"gov,wo,transp",1
"conj,subst,syntax",1
"lex,gov,par",1
"mode,neg,transfer,lex",1
"agrgender,hyphen",1
"neg,miss,tense,transfer",1
"miss,prep,morph",1
"morph,par",1
"ortho,subst,neg",1
"ortho,subst,miss,infl,subst",1
"prep,extra,syntax",1
"impers,agrgender,agrnum",1
"lex,tense,asp",1
"not-clear,lex,par",1
"ref,constr,disc",1
"transfer,idiom,lex",1
"idiom,constr,miss",1
"aux,tense,syntax",1
"lex,extra,ref",1
"impers,miss,ref,syntax",1
"lex,constr,extra,agrstr",1
"lex,subst,impers,gov,constr",1
"agrstr,syntax",1
"wo,num",1
"miss,ref,conj",1
"impers,gov",1
"ortho,space,par",1
"lex,subst,num,constr",1
"brev,agrnum",1
"lex,wo,gov",1
"wo,lex,conj",1
"agrcase,wo,constr",1
"deriv,infl",1
"space,brev",1
"lex,not-clear,tense",1
"deriv,num",1
"num,infl,extra",1
"space,constr",1
"impers,miss,ref",1
"conj,miss,ref,constr",1
"wo,constr,miss",1
"ref,gender,agrgender",1
"conj,miss,syntax",1
"lex,miss,refl,ref",1
"gov,agrstr,miss,ref",1
"asp,lex,refl",1
"conj,extra,syntax",1
"lex,conj,subst,transfer",1
"miss,conj,syntax",1
"gender,ref,agrgender",1
"prep,extra,gov,ref",1
"miss,morph,syntax",1
"altern,agrnum,lex",1
"lex,miss,conj",1
"lex,extra,miss,not-clear",1
"lex,subst,gov",1
"conj,lex,miss",1
"deriv,lex,transfer",1
"ortho,extra,par",1
"mode,conj,tense",1
"conj,miss,gov",1
"num,conj",1
"lex,syntax,constr",1
"miss,ref,lex",1
"ortho,conj,prep",1
"deriv,lex,ortho",1
"prep,extra,gov,agrstr",1
"gov,agrcase,agrgender",1
"impers,agrnum",1
"agrgender,constr,syntax",1
"wo,agrstr,syntax",1
"num,disc,agrnum",1
"syntax,miss,ref",1
"syntax,transfer,conj,constr,mode",1
"aux,gov,agrgender",1
"gov,agrstr,constr,prep,miss",1
"syntax,impers",1
"gov,agrstr,constr",1
"impers,refl,agrnum",1
"constr,constr,ortho",1
"wo,mode",1
"constr,miss,transfer",1
"prep,agrstr,constr",1
"extra,passive",1
"constr,syntax,lex",1
"transfer,constr,syntax",1
"infl,misspell",1
"idiom,ref",1
"ref,idiom",1
"infl,brev",1
"altern,ortho",1
"prep,gov,constr",1
"par,agrcase",1
"graph,subst",1
"conj,lex,transfer,constr",1
"misspell,morph",1
"prep,constr,transfer",1
"idiom,constr,transfer",1
"lex,aux,transfer",1
"lex,par,transp",1
"gov,agrstr,prep",1
"brev,agrgender,agrnum",1
"lex,mode,refl",1
"agrstr,gov,miss,prep",1
"idiom,par,lex",1
"conj,constr,miss",1
"neg,constr,syntax,miss",1
"prep,agrstr,gov",1
"constr,lex,miss,agrstr",1
"gov,constr,conj",1
"lex,par,impers",1
"agrnum,agrcase,transfer",1
"gov,infl,subst",1
"coord,gov",1
"gender,constr",1
"lex,par,idiom,miss",1
"mode,constr,disc",1
"lex,disc,not-clear",1
"lex,constr,disc",1
"extra,ref,lex",1
"impers,refl,lex,subst,transfer",1
"idiom,lex,extra,ortho,space",1
"lex,disc,not-clear,extra",1
"lex,miss,prep",1
"extra,lex,constr,idiom",1
"prep,miss,ref",1
"conj,constr,gov",1
"conj,constr,syntax",1
"lex,ref,disc",1
"agrnum,agrcase,gov",1
"constr,gov,altern",1
"aux,syntax,miss",1
"num,infl,morph",1
"altern,infl,morph",1
"miss,prep,constr,transfer",1
"constr,lex,extra",1
"brev,constr,lex",1
"miss,lex,disc",1
"miss,syntax,gov",1
"brev,miss,conj",1
"miss,conj,constr,lex",1
"impers,constr,miss",1
