id,subcorpus,native,language_background,level,words,sentences
1397,RULEC,eng,HL,AH,162,8
1398,RULEC,eng,HL,AM,431,18
1401,RULEC,eng,HL,AL,46,3
1402,RULEC,eng,HL,AL,476,26
1403,RULEC,eng,FL,IM,140,8
1405,RULEC,eng,FL,AL,270,17
1406,RULEC,eng,HL,AL,42,2
1407,RULEC,eng,HL,AL,35,3
1408,RULEC,eng,FL,IH,107,6
1409,RULEC,eng,FL,IM,156,9
1410,RULEC,eng,HL,IH,58,4
1411,RULEC,eng,FL,AM,477,18
1412,RULEC,eng,FL,IM,61,4
1414,RULEC,eng,HL,IH,114,8
1415,RULEC,eng,HL,IH,51,3
1416,RULEC,eng,HL,IH,747,36
1417,RULEC,eng,HL,AM,182,11
1418,RULEC,eng,HL,AL,68,6
1419,RULEC,eng,HL,IH,523,32
1420,RULEC,eng,HL,AM,294,15
1422,RULEC,eng,HL,AM,255,13
1423,RULEC,eng,FL,IH,157,13
1424,RULEC,eng,HL,AL,290,18
1425,RULEC,eng,HL,AM,217,10
1426,RULEC,eng,FL,AL,73,3
1427,RULEC,eng,FL,IM,239,11
1428,RULEC,eng,HL,AL,316,21
1431,RULEC,eng,HL,AL,85,5
1432,RULEC,eng,HL,AL,131,8
1433,RULEC,eng,HL,AL,44,2
1434,RULEC,eng,HL,AM,42,4
1435,RULEC,eng,HL,AL,105,7
1436,RULEC,eng,HL,IH,138,9
1437,RULEC,eng,HL,AM,144,6
1438,RULEC,eng,FL,AL,130,14
1439,RULEC,eng,HL,AM,245,10
1440,RULEC,eng,HL,AM,218,10
1442,RULEC,eng,FL,AM,98,6
1443,RULEC,eng,HL,AM,175,7
1444,RULEC,eng,HL,AM,170,10
1445,RULEC,eng,HL,AH,169,12
1446,RULEC,eng,HL,AM,438,21
1447,RULEC,eng,FL,AM,296,20
1448,RULEC,eng,HL,IH,251,10
1449,RULEC,eng,FL,AM,222,11
1451,RULEC,eng,HL,AL,129,6
1452,RULEC,eng,HL,AL,466,29
1453,RULEC,eng,HL,AL,319,18
1454,RULEC,eng,HL,AL,69,7
1455,RULEC,eng,FL,AL,49,3
1457,RULEC,eng,HL,AL,83,8
1460,RULEC,eng,HL,AM,773,51
1461,RULEC,eng,HL,IM,69,3
1462,RULEC,eng,FL,AL,130,10
1463,RULEC,eng,FL,AL,20,1
1464,RULEC,eng,HL,AM,160,9
1465,RULEC,eng,FL,IH,360,22
1466,RULEC,eng,FL,IH,959,45
1467,RULEC,eng,FL,AL,53,5
1468,RULEC,eng,FL,AL,106,7
1469,RULEC,eng,HL,AL,462,20
1470,RULEC,eng,HL,IM,159,12
1471,RULEC,eng,FL,AM,800,33
1472,RULEC,eng,HL,AM,116,6
1473,RULEC,eng,HL,AM,167,9
1474,RULEC,eng,FL,AL,276,19
1475,RULEC,eng,HL,AM,178,8
1476,RULEC,eng,HL,IH,127,6
1477,RULEC,eng,FL,AL,327,20
1478,RULEC,eng,HL,IH,93,8
1480,RULEC,eng,HL,AM,237,15
1481,RULEC,eng,HL,AM,181,8
1482,RULEC,eng,HL,AM,182,8
1483,RULEC,eng,HL,AL,35,1
1484,RULEC,eng,HL,IH,147,7
1486,RULEC,eng,HL,AM,294,19
1500,RULEC,eng,FL,AM,253,18
1504,RULEC,eng,FL,IM,70,4
1522,RULEC,eng,HL,AL,217,12
1527,RULEC,eng,HL,AM,454,28
1531,RULEC,eng,HL,AL,71,8
1533,RULEC,eng,HL,IH,359,23
1542,RULEC,eng,HL,AL,316,18
1552,RULEC,eng,HL,IH,206,16
1553,RULEC,eng,HL,AL,533,34
1566,RULEC,eng,HL,AL,329,15
1567,RULEC,eng,FL,AL,200,16
1570,RULEC,eng,HL,IH,72,4
1577,RULEC,eng,FL,AM,391,26
1580,RULEC,eng,HL,AL,139,8
5662,,chi,FL,IM,222,15
5663,,chi,FL,IM,170,18
5664,,chi,FL,IM,180,20
5665,,chi,FL,IM,215,16
5667,HSE,eng,FL,IH,298,18
5669,HSE,eng,FL,IH,327,16
5670,HSE,eng,FL,IH,429,28
5671,HSE,eng,FL,IH,561,41
5672,HSE,eng,FL,IH,556,28
5673,HSE,eng,FL,IH,584,29
5675,HSE,eng,FL,IH,253,15
5722,HSE,eng,FL,AM,715,39
5723,HSE,eng,FL,AM,625,37
5728,HSE,eng,FL,AM,500,24
5730,HSE,eng,FL,AL,413,19
5731,HSE,eng,FL,AL,413,18
5732,HSE,eng,FL,AL,466,12
5733,HSE,eng,FL,IH,662,26
5735,HSE,eng,FL,IH,597,22
5740,HSE,eng,FL,IH,499,29
5741,HSE,eng,FL,IH,416,29
5742,HSE,eng,FL,IH,257,18
5743,HSE,eng,FL,IH,252,20
5744,HSE,eng,FL,IH,271,18
5745,HSE,eng,FL,IH,315,18
5746,HSE,eng,FL,IH,244,21
5747,HSE,eng,HL,IH,244,18
5748,HSE,eng,FL,IH,163,11
5749,HSE,eng,FL,IH,146,12
5750,HSE,eng,FL,IH,410,26
5751,HSE,eng,FL,IH,251,13
5752,HSE,eng,FL,IH,249,13
5753,HSE,eng,FL,IH,260,18
5754,HSE,eng,FL,IH,571,27
5756,HSE,eng,FL,IH,583,23
5758,HSE,eng,FL,IH,507,22
5760,HSE,eng,FL,IM,524,23
5762,HSE,eng,FL,IM,511,21
5763,HSE,eng,FL,IM,423,19
5882,HSE,eng,FL,Other,469,31
6301,RULEC,eng,FL,AM,2317,113
6394,HSE,eng,FL,NH,98,14
6396,HSE,eng,FL,NH,146,19
6398,HSE,eng,FL,NL,103,13
6400,HSE,eng,FL,IM,60,6
6401,HSE,eng,FL,IM,160,13
6402,HSE,eng,FL,NH,101,15
6408,HSE,eng,FL,IM,106,8
6813,,chi,FL,B1,163,8
6818,,chi,FL,C2,193,11
6819,,chi,FL,C2,152,11
6820,,chi,FL,C2,266,13
6821,,chi,FL,C2,224,17
6822,,chi,FL,C2,212,12
6824,,chi,FL,C2,170,14
6825,,chi,FL,C2,229,15
6827,,chi,FL,C2,178,17
6867,,chi,FL,C2,573,29
6872,,chi,FL,C2,345,19
7027,,chi,FL,C1,877,151
7028,,chi,FL,C2,224,12
8716,HSE,chi,FL,B2,420,36
8717,HSE,chi,FL,C1,152,15
8718,HSE,chi,FL,B2,196,16
8719,HSE,chi,FL,B2,178,18
8720,HSE,chi,FL,B2,217,14
8721,HSE,chi,FL,B1,198,14
8722,HSE,chi,FL,B1,185,13
8723,HSE,chi,FL,B2,92,7
8724,HSE,chi,FL,B1,239,26
8725,HSE,chi,FL,IL,180,18
8726,HSE,chi,FL,B1,176,16
8727,HSE,chi,FL,B1,302,23
8728,HSE,chi,FL,B2,154,19
8729,HSE,chi,FL,B2,248,7
8730,HSE,chi,FL,B2,215,20
8731,HSE,chi,FL,B1,154,10
8732,HSE,chi,FL,B1,176,10
8733,HSE,chi,FL,B2,272,25
8734,HSE,chi,FL,B1,135,17
8735,HSE,chi,FL,B1,170,15
8736,HSE,chi,FL,B2,153,9
8737,HSE,chi,FL,B2,228,17
8738,HSE,chi,FL,B2,121,8
8739,HSE,chi,FL,B2,118,15
8740,HSE,chi,FL,B1,132,22
8741,HSE,chi,FL,A1,99,8
8742,HSE,chi,FL,A1,139,21
8743,HSE,chi,FL,A1,110,16
8744,HSE,chi,FL,A1,57,13
8745,HSE,chi,FL,A1,57,11
8848,HSE,eng,FL,IH,250,13
8849,HSE,eng,FL,IH,285,16
8850,HSE,eng,FL,IH,254,13
8852,HSE,eng,FL,IH,213,14
8853,HSE,eng,FL,IH,126,8
8855,HSE,eng,FL,IH,231,12
8856,HSE,eng,FL,IH,262,15
8858,HSE,eng,FL,IH,236,13
8861,HSE,eng,FL,IH,283,24
8866,HSE,eng,FL,IH,299,13
8871,HSE,eng,FL,IH,295,27
9160,HSE,eng,FL,IH,51,6
9171,HSE,eng,FL,IH,96,7
9176,HSE,eng,FL,IH,134,7
9179,HSE,eng,FL,IH,86,6
9180,HSE,eng,FL,IH,130,12
9181,HSE,chi,FL,IH,110,11
9182,HSE,chi,FL,IH,124,10
9183,HSE,eng,FL,IH,247,26
9187,HSE,eng,FL,IH,175,17
9188,HSE,eng,FL,IM,230,18
9191,HSE,eng,FL,IM,221,16
9196,HSE,eng,FL,IM,333,49
9209,HSE,eng,FL,IM,490,63
9213,HSE,eng,FL,IM,81,7
9216,HSE,eng,FL,IH,103,8
9217,HSE,eng,FL,IH,145,11
9220,HSE,eng,FL,IM,315,18
9225,HSE,eng,FL,IH,588,34
9226,HSE,eng,FL,IH,215,14
9230,HSE,eng,FL,IM,1243,83
9242,HSE,eng,FL,IM,765,49
9249,HSE,eng,FL,IH,374,23
9251,HSE,eng,FL,IH,377,18
9253,HSE,eng,FL,IM,1039,73
9259,HSE,eng,FL,IH,546,36
9266,HSE,eng,FL,IH,556,34
9347,HSE,chi,FL,A1,45,10
9348,HSE,chi,FL,A1,88,8
9349,,chi,FL,A1,101,11
9350,,chi,FL,A1,105,8
9351,,chi,FL,A1,86,6
9352,,chi,FL,A1,107,11
9353,,chi,FL,A1,82,8
9354,,chi,FL,A1,30,4
9355,,chi,FL,A1,122,8
9356,,chi,FL,A1,68,10
9357,,chi,FL,A1,113,4
9366,HSE,chi,FL,IM,243,18
9367,HSE,chi,FL,IM,216,14
9368,HSE,chi,FL,IM,316,25
9369,HSE,chi,FL,IM,428,21
9370,HSE,chi,FL,IH,198,14
9371,HSE,chi,FL,IH,118,15
9417,HSE,chi,FL,IH,448,26
9418,HSE,chi,FL,IH,157,17
9419,HSE,chi,FL,IH,491,21
9420,HSE,chi,FL,IM,181,10
9421,HSE,chi,FL,IM,262,17
9422,HSE,chi,FL,IM,107,14
9423,HSE,chi,FL,IM,301,21
9424,HSE,chi,FL,IM,110,12
9425,HSE,chi,FL,IM,279,20
9426,HSE,chi,FL,IM,202,17
9427,HSE,chi,FL,IM,162,20
9428,HSE,chi,FL,IM,232,14
9429,HSE,chi,FL,IM,189,17
9471,HSE,eng,FL,Other,89,9
9473,HSE,eng,FL,Other,95,10
9475,HSE,eng,FL,Other,105,10
9476,HSE,eng,FL,Other,30,4
9477,HSE,eng,FL,Other,171,12
9481,,chi,FL,B1,214,10
9482,,chi,FL,B1,438,22
9499,HSE,eng,FL,IL,208,15
9500,HSE,eng,FL,IL,83,7
9501,HSE,eng,FL,IM,86,6
9550,HSE,eng,FL,NM,75,10
9638,HSE,eng,FL,A2,90,5
9689,HSE,chi,FL,A2,81,6
9690,HSE,chi,FL,A2,82,6
9691,HSE,chi,FL,B2,167,8
9692,HSE,chi,FL,B2,66,3
9693,HSE,chi,FL,B2,99,5
9694,HSE,chi,FL,B2,319,12
9695,HSE,chi,FL,B1,91,5
9696,HSE,chi,FL,B1,130,7
9697,HSE,chi,FL,B1,139,10
9698,HSE,chi,FL,B1,310,18
9699,HSE,eng,FL,A2,108,11
9700,HSE,eng,FL,A2,213,13
9701,HSE,eng,FL,A2,72,6
9714,HSE,chi,FL,A2,128,13
9722,HSE,chi,FL,B2,73,6
9723,HSE,chi,FL,B2,107,9
9724,HSE,chi,FL,B2,309,21
9725,HSE,chi,FL,B2,210,23
9726,HSE,chi,FL,B2,104,8
9727,HSE,chi,FL,B2,232,18
9728,HSE,chi,FL,B2,438,19
9729,HSE,eng,FL,A2,80,5
9730,HSE,eng,FL,A2,105,10
9731,HSE,eng,FL,A2,106,9
9733,HSE,eng,FL,A2,63,6
9735,HSE,chi,FL,B1,316,21
9749,HSE,eng,FL,A2,215,24
9750,HSE,eng,FL,A2,123,18
9751,HSE,eng,FL,A2,108,13
9752,HSE,eng,FL,A2,77,4
9754,HSE,eng,FL,A2,64,3
9756,HSE,eng,FL,A2,146,19
9757,HSE,eng,FL,A2,45,5
9759,HSE,eng,FL,A2,91,5
9760,HSE,eng,FL,A2,53,7
9761,HSE,eng,FL,A2,72,13
9762,HSE,eng,FL,A2,139,13
9763,HSE,eng,FL,A2,182,22
9764,HSE,eng,FL,A2,131,16
9765,HSE,eng,FL,A2,43,1
9766,HSE,eng,FL,A2,123,8
9769,HSE,eng,FL,A2,58,6
9770,HSE,eng,FL,A2,156,12
9771,HSE,eng,FL,A1,166,17
9802,HSE,chi,FL,NH,66,10
9803,HSE,chi,FL,NH,137,18
9804,HSE,chi,FL,NH,48,4
9805,HSE,chi,FL,NH,180,21
9806,HSE,chi,FL,NH,264,30
9810,HSE,chi,FL,NM,140,16
9811,HSE,chi,FL,NM,154,27
9812,HSE,chi,FL,NM,85,8
9813,HSE,chi,FL,NM,219,24
9865,HSE,chi,FL,IH,518,37
9866,HSE,chi,FL,IH,324,41
9867,HSE,chi,FL,IH,336,34
9868,HSE,chi,FL,IH,38,4
9869,HSE,chi,FL,IM,120,12
9870,HSE,chi,FL,IM,144,15
9871,HSE,chi,FL,IM,189,20
9872,HSE,chi,FL,IM,48,5
10091,HSE,eng,FL,A2,155,14
10098,HSE,eng,FL,A2,284,21
10099,HSE,eng,FL,A2,149,13
10104,HSE,chi,FL,B1,399,26
10105,HSE,chi,FL,B1,376,40
10107,HSE,eng,FL,B1,166,23
10219,HSE,eng,FL,A2,127,7
10223,HSE,chi,FL,A2,139,11
10224,HSE,chi,FL,A2,174,20
10258,HSE,eng,FL,A2,154,10
10259,HSE,eng,FL,A2,88,9
10260,HSE,chi,FL,A2,227,19
10261,HSE,chi,FL,A2,149,22
10264,HSE,chi,FL,A2,285,14
10265,HSE,chi,FL,A2,171,19
10271,HSE,chi,FL,A2,119,10
10272,HSE,chi,FL,A2,123,13
10319,SFEDU,chi,FL,B1,453,25
10322,SFEDU,chi,FL,B1,432,16
10323,SFEDU,chi,FL,B1,545,35
10324,SFEDU,chi,FL,B1,677,31
10325,SFEDU,chi,FL,B1,526,23
10326,SFEDU,chi,FL,B1,734,38
10327,SFEDU,chi,FL,B1,630,9
10328,SFEDU,chi,FL,B1,736,39
10329,SFEDU,chi,FL,B1,628,41
10330,SFEDU,chi,FL,B1,487,32
10331,SFEDU,chi,FL,B1,684,40
10332,SFEDU,chi,FL,B1,534,15
10333,SFEDU,chi,FL,B1,630,36
10334,SFEDU,chi,FL,B1,1192,64
10335,SFEDU,chi,FL,B1,579,40
10336,SFEDU,chi,FL,B1,770,22
10337,SFEDU,chi,FL,B1,453,24
10338,SFEDU,chi,FL,B1,704,44
10339,SFEDU,chi,FL,B1,617,42
10340,SFEDU,chi,FL,B1,570,19
10341,SFEDU,chi,FL,B1,586,40
10342,SFEDU,chi,FL,B1,466,29
10343,SFEDU,chi,FL,B1,639,5
10344,SFEDU,chi,FL,B1,536,14
10345,SFEDU,chi,FL,B1,862,43
10346,SFEDU,chi,FL,B1,785,57
10347,SFEDU,chi,FL,B1,317,15
10348,SFEDU,chi,FL,B1,438,25
10349,SFEDU,chi,FL,B1,521,16
10350,SFEDU,chi,FL,B1,734,15
10351,SFEDU,chi,FL,B1,508,33
10352,SFEDU,chi,FL,B1,384,24
10353,SFEDU,chi,FL,B1,442,20
10354,SFEDU,chi,FL,B1,463,20
10411,SFEDU,eng,FL,B1,517,17
10472,SFEDU,chi,FL,B1,705,34
10638,HSE,chi,FL,A2,76,7
10639,HSE,chi,FL,B1,146,9
10640,HSE,chi,FL,B1,123,10
10643,HSE,chi,FL,A2,237,1
10644,HSE,chi,FL,A2,161,1
10647,HSE,chi,FL,A2,297,21
10648,HSE,chi,FL,A2,159,24
10649,HSE,chi,FL,B1,289,3
10650,HSE,chi,FL,B1,349,6
10653,HSE,chi,FL,B1,215,15
10654,HSE,chi,FL,B1,215,22
10686,HSE,eng,FL,A2,58,5
10838,HSE,chi,FL,B1,238,20
10839,HSE,chi,FL,B1,306,22
10840,HSE,chi,FL,B1,440,48
10841,HSE,chi,FL,B1,254,18
10842,HSE,chi,FL,B1,145,16
10843,HSE,chi,FL,B1,231,20
10844,HSE,chi,FL,B1,278,24
10845,HSE,chi,FL,B1,167,15
10846,HSE,chi,FL,B1,163,20
10847,HSE,chi,FL,B1,98,9
10848,HSE,chi,FL,B1,162,16
10849,HSE,chi,FL,B1,117,11
10850,HSE,chi,FL,B1,123,18
10851,HSE,chi,FL,B1,107,9
10852,HSE,chi,FL,B1,105,10
10853,HSE,chi,FL,B1,186,24
10869,,chi,FL,B1,444,29
10870,,chi,FL,B1,289,25
10892,,chi,FL,B1,136,10
10893,,chi,FL,B1,175,4
10904,HSE,chi,FL,B1,147,15
10905,HSE,chi,FL,B1,210,23
10906,HSE,chi,FL,B1,202,16
10907,HSE,chi,FL,B1,223,20
10908,HSE,chi,FL,B1,278,26
10909,HSE,chi,FL,B1,162,11
10910,HSE,chi,FL,B1,139,9
10911,HSE,chi,FL,B1,156,12
10912,HSE,chi,FL,B1,113,11
10913,HSE,chi,FL,B1,111,12
10914,HSE,chi,FL,B1,117,11
10915,HSE,chi,FL,B1,136,12
10916,HSE,chi,FL,B1,104,10
10917,HSE,chi,FL,B1,120,11
10918,HSE,chi,FL,B1,259,29
10919,HSE,chi,FL,B1,204,19
10920,HSE,chi,FL,B1,193,22
10921,HSE,chi,FL,B1,96,9
10922,HSE,chi,FL,B1,217,17
10923,HSE,chi,FL,B1,162,12
10924,HSE,chi,FL,B1,273,23
10925,HSE,chi,FL,B1,195,14
10926,HSE,chi,FL,B1,167,16
10927,HSE,chi,FL,B1,186,12
10928,HSE,chi,FL,B1,148,10
10929,HSE,chi,FL,B1,180,15
10930,HSE,chi,FL,B1,182,15
10931,HSE,chi,FL,B1,111,10
10939,HSE,eng,FL,A2,205,10
10941,HSE,eng,FL,A2,177,12
10942,HSE,eng,FL,A2,95,9
10943,HSE,chi,FL,A2,274,18
10944,HSE,chi,FL,A2,181,16
10945,HSE,chi,FL,A2,420,34
10946,HSE,chi,FL,A2,273,27
10949,HSE,chi,FL,B1,303,28
10950,HSE,chi,FL,B1,188,23
10961,HSE,chi,FL,B1,125,7
10962,HSE,chi,FL,B1,130,9
10963,HSE,chi,FL,B1,202,16
10964,HSE,chi,FL,B1,244,24
10965,HSE,chi,FL,B1,274,20
10966,HSE,chi,FL,B1,211,16
10967,HSE,chi,FL,B1,240,26
10968,HSE,chi,FL,B1,219,15
10969,HSE,chi,FL,B1,233,23
10970,HSE,chi,FL,B1,83,10
10971,HSE,chi,FL,B1,119,15
10972,HSE,chi,FL,B1,97,9
10973,HSE,chi,FL,B1,149,15
10974,HSE,chi,FL,B1,261,32
10975,HSE,chi,FL,B1,149,14
10976,HSE,chi,FL,B1,123,9
10977,HSE,chi,FL,B1,129,12
10978,HSE,chi,FL,B1,211,12
10979,HSE,chi,FL,B1,140,10
10981,HSE,chi,FL,B1,136,10
10982,HSE,chi,FL,B1,91,7
10983,HSE,chi,FL,B1,87,8
10984,HSE,chi,FL,B1,86,8
10986,HSE,chi,FL,B1,92,10
10987,HSE,chi,FL,B1,116,11
10988,HSE,chi,FL,B1,111,10
10989,HSE,chi,FL,B1,143,13
10990,HSE,chi,FL,B1,70,7
10991,HSE,chi,FL,B1,135,18
10997,,chi,FL,B1,221,5
10998,,chi,FL,B1,236,7
11022,,chi,FL,B1,363,25
11023,,chi,FL,B1,237,25
11090,,chi,FL,IM,139,10
11091,HSE,chi,FL,A1,115,13
11092,HSE,chi,FL,A1,69,7
11093,HSE,chi,FL,A1,53,2
11094,HSE,chi,FL,A1,53,5
11096,HSE,chi,FL,B1,135,17
11097,HSE,chi,FL,B2,278,5
11098,HSE,chi,FL,B1,153,13
11100,HSE,chi,FL,A2,78,10
11106,HSE,chi,FL,B1,100,11
11107,HSE,chi,FL,B2,130,15
11108,HSE,chi,FL,B1,160,19
11109,HSE,chi,FL,A1,42,7
11110,HSE,chi,FL,B2,213,10
11111,HSE,chi,FL,A2,87,14
11112,HSE,chi,FL,B2,202,16
11113,HSE,chi,FL,B1,99,7
11114,HSE,chi,FL,B1,86,10
11115,HSE,chi,FL,B1,174,12
11116,HSE,chi,FL,A1,53,4
11117,HSE,chi,FL,A1,73,2
11118,HSE,chi,FL,A1,96,9
11119,HSE,chi,FL,A2,54,4
11120,HSE,chi,FL,A1,81,5
11121,HSE,chi,FL,A1,56,4
11122,HSE,chi,FL,A1,119,10
11339,,eng,FL,A2,164,17
11360,,eng,FL,B1,333,23
11361,,eng,FL,B1,178,17
11370,,chi,FL,A2,84,3
11371,,chi,FL,A2,79,11
11420,HSE,eng,FL,A1,138,10
11421,HSE,eng,FL,A1,65,8
11422,HSE,eng,FL,A1,130,14
11423,HSE,eng,FL,A1,157,16
11424,HSE,eng,FL,A1,269,12
11462,HSE,chi,FL,A1,118,10
11465,HSE,chi,FL,A1,125,9
11468,HSE,chi,FL,A1,186,12
11469,HSE,chi,FL,A1,115,14
11556,HSE,eng,FL,B2,218,19
11560,HSE,eng,FL,B2,175,11
11583,HSE,eng,FL,B2,355,24
11584,HSE,eng,FL,B2,234,20
11818,HSE,chi,FL,B1,297,13
11821,HSE,chi,FL,B1,292,6
11909,SFEDU,eng,FL,B1,133,6
11912,SFEDU,eng,FL,A1,203,16
11913,SFEDU,eng,FL,B1,91,6
11929,SFEDU,chi,FL,C1,175,14
12244,SFEDU,chi,FL,A2,334,18
12246,SFEDU,chi,FL,A2,215,13
12252,SFEDU,chi,FL,A2,40,2
12257,SFEDU,chi,FL,A2,53,8
12304,SFEDU,chi,FL,B1,252,22
12309,SFEDU,chi,FL,B2,137,12
12312,SFEDU,chi,FL,B1,80,7
12315,SFEDU,chi,FL,B1,211,18
12319,SFEDU,chi,FL,A2,106,9
12352,SFEDU,eng,FL,B1,181,14
